"dates","arealVal"
"20160903",42.6554094295
"20160904",7.39104899940933
"20160905",6.92150850989679
"20160906",0.122722225304546
"20160907",4.12995546494994
"20160908",8.01830760957087
"20160909",6.72887731034646
"20160910",21.5328680495501
"20160911",4.48242639835686
"20160912",1.17286260761836
"20160913",1.31177358464278
"20160914",5.79814301437163
"20160915",0.0210246650091905
"20160916",0.881941624048936
"20160917",1.60954642063111
"20160918",0.581396528848417
"20160919",0.0572421873243512
"20160920",0.130023751007239
"20160921",0.024631674483332
"20160922",0
"20160923",0.00978986620038601
"20160924",0.107252528526085
"20160925",2.57538886436763
"20160926",1.01077021951656
"20160927",3.74894881237835
"20160928",1.83346214681691
"20160929",4.05901226344145
"20160930",0.87465596475648
"20161001",2.37751388217338
"20161002",1.47904644990967
"20161003",0
"20161004",0.793842685589669
